gene,cluster,p_val,avg_logFC,pct.1,pct.2,p_val_adj
ATP2A2,4,0.6999861695551559,-0.06716185356385773,0.421,0.346,1
PKD2,4,0.7002952966321381,-0.04438046351522039,0.224,0.191,1
HAT1,4,0.7005613209369445,-0.07764058118164952,0.276,0.276,1
MANBAL,4,0.700749947450146,-0.058448289712445645,0.658,0.531,1
DCUN1D2,4,0.7007524889840285,-0.05803792813179876,0.105,0.112,1
STK35,4,0.7007597700683348,-0.024041086693988106,0.132,0.112,1
EIF5A,4,0.7008058290527386,-0.008025816258693474,0.947,0.905,1
PERP,4,0.7011241347556857,-0.05334718845805275,0.632,0.534,1
CBL,4,0.7012066708614695,-0.06232161505548248,0.289,0.243,1
ERCC5,4,0.7015408385642798,-0.03902611154896396,0.132,0.14,1
SLC35G1,4,0.7016622452360575,-0.06304418422781423,0.184,0.188,1
BIRC6,4,0.7017348677883137,-0.1341193782659893,0.539,0.471,1
GPR108,4,0.7021687612256675,-0.028439673026682655,0.474,0.394,1
ZNF136,4,0.7024797597640506,-0.06856885469174592,0.132,0.136,1
ZW10,4,0.7027926442517665,-0.027400766726854438,0.118,0.1,1
ATP6V1G2,4,0.7029505841410988,-0.014591140753623763,0.105,0.09,1
SF3A2,4,0.7032610037740292,-0.09703798911030215,0.487,0.435,1
ZSCAN30,4,0.703270107514798,-0.07792371481934515,0.132,0.137,1
SNRPB2,4,0.7034610786287983,0.019537511825406972,0.868,0.726,1
ACBD5,4,0.7041555281677321,-0.047977252536661325,0.237,0.205,1
ARID5B,4,0.7043512349129439,-0.06209093573667612,0.671,0.584,1
ZFHX4,4,0.7044731714988584,-0.04310373132747615,0.145,0.122,1
RCL1,4,0.7045342738569367,-0.06782347311252199,0.092,0.101,1
LRP6,4,0.7047318927649007,-0.09300893637604049,0.342,0.327,1
CST3,4,0.7048301571995955,0.08413966447119425,0.961,0.946,1
ZNF134,4,0.7051643647472003,-0.03134961073719522,0.303,0.26,1
FAM229B,4,0.7053868335260214,-0.07300087567309466,0.553,0.516,1
NUTF2,4,0.7054557292591648,-0.08920551048351588,0.711,0.646,1
DVL2,4,0.7058677336606171,-0.11280109283763562,0.368,0.342,1
HIF3A,4,0.7059870156860136,-0.038035782307221266,0.237,0.204,1
SMAP1,4,0.70613032318189894,-0.06539690667755038,0.526,0.427,1
ATP5F1A,4,0.706636065589299,-0.020310918220884044,0.987,0.9,1
ZFAND2B,4,0.7070348356590972,-0.06934456980662701,0.513,0.414,1
FAM200A,4,0.7073955058901643,-0.001981729241659458,0.118,0.131,1
TANC2,4,0.707621616186433,-0.033364532742183234,0.158,0.133,1
DBNL,4,0.7078784605846671,-0.0793260134391604,0.553,0.453,1
TRMT2A,4,0.7081318041582412,-0.05728233795037385,0.211,0.219,1
LIPE-AS1,4,0.7083715388817009,-0.001959047546628151,0.118,0.103,1
PRR14L,4,0.7092042887582832,-0.07819931508288797,0.289,0.279,1
SH3BP5L,4,0.7093247036050057,-0.034835786853637744,0.118,0.101,1
RNPC3,4,0.7094879882649852,-0.055243130388358985,0.342,0.296,1
UNC119B,4,0.7096400237875373,-0.02727774710237657,0.211,0.186,1
ATG16L2,4,0.7098729042824077,-0.07113874011154737,0.171,0.144,1
ETFDH,4,0.710079791180744,-0.025808315901662507,0.171,0.149,1
C6orf106,4,0.7101070472948059,-0.052034667626529835,0.197,0.167,1
TSGA10,4,0.7102545813212939,-0.08631087899154162,0.224,0.219,1
PABPC1,4,0.7102589532207304,0.017487671617281375,0.974,0.937,1
CHURC1,4,0.710289496045338,-0.09630470246391631,0.737,0.671,1
DCUN1D1,4,0.710493449037799,-0.03289889050886069,0.395,0.345,1
CTDSP1,4,0.7106444298930898,-0.12561514460414203,0.632,0.535,1
XPOT,4,0.7112677435882967,-0.03158868712918711,0.316,0.277,1
APP,4,0.711281825155137,-0.011043939064744435,0.737,0.656,1
LRIF1,4,0.7113149347185173,-0.047345462039285774,0.329,0.279,1
DPM2,4,0.7120261451738513,-0.033075764752414305,0.592,0.51,1
PI4KA,4,0.7124463511155739,-0.044206788572893035,0.184,0.198,1
SGO2,4,0.7125279182291857,-0.061648520439378324,0.224,0.191,1
REV1,4,0.7125834077059636,-0.0840531370318291,0.368,0.303,1
STIM2,4,0.7125899819360537,-0.06735387220790892,0.276,0.234,1
