gene,cluster,p_val,avg_logFC,pct.1,pct.2,p_val_adj
DENND5A,0,0.22692282758893317,0.16411219885538522,0.136,0.067,1
GEMIN7,0,0.22692653203397284,0.05624799782810136,0.22,0.367,1
FAAH,0,0.22701390529671653,0.19048533433441817,0.173,0.1,1
RNF219,0,0.22705258531507946,0.031439738720762556,0.157,0.267,1
ITGB5,0,0.2271151158310803,0.2268622414613241,0.231,0.167,1
TMEM138,0,0.22728943770207308,0.048021401684744114,0.215,0.367,1
RCE1,0,0.22732717936354047,0.05579855758011157,0.175,0.3,1
SERTAD1,0,0.2278041219806882,0.2636991786687142,0.336,0.3,1
CLBA1,0,0.22827959088586677,0.019017350016506368,0.068,0.133,1
EYA4,0,0.2282831164610323,0.28818666959968786,0.283,0.233,1
YJU2,0,0.2283198320788959,0.17466880637001467,0.171,0.1,1
RBBP6,0,0.22835004501263487,0.030360364794168038,0.386,0.667,1
SMTNL2,0,0.22864695014419673,0.28587167196517776,0.353,0.333,1
WBP4,0,0.22875418907603842,0.050501358036321886,0.348,0.567,1
ARHGEF9,0,0.22876027501182708,0.04544336234340615,0.173,0.3,1
PIGX,0,0.22932147617766935,0.01384783312993898,0.292,0.467,1
SMAP2,0,0.22951105701441318,0.0018506107877729883,0.068,0.133,1
IGSF8,0,0.22955959243611962,0.14941178929438126,0.217,0.133,1
CAAP1,0,0.22961080302007558,0.04729550421865178,0.154,0.267,1
MED13L,0,0.2299209907445578,0.2292284929868314,0.294,0.233,1
KLF13,0,0.23016814126920013,0.04448173679266257,0.131,0.233,1
MRS2,0,0.23046264793812432,-0.0011209517277751546,0.32,0.5,1
JMJD4,0,0.2306126110664129,0.01875529379150989,0.112,0.2,1
SLC2A8,0,0.23074716989762908,0.028559869111960165,0.068,0.133,1
MPV17L2,0,0.23076455897407738,0.03410941082103598,0.11,0.2,1
ARL5A,0,0.23087006711556746,0.208215831069111,0.682,0.733,1
FMC1,0,0.23123394965881985,0.2589634448621696,0.57,0.733,1
ERO1A,0,0.23139799567963912,0.015461194384950167,0.114,0.2,1
BEX5,0,0.2317657131854898,0.0544363439861066,0.11,0.2,1
GRINA,0,0.23187232455555432,-0.03324515358345448,0.479,0.767,1
ZNF740,0,0.231988079884768,0.017680000952295744,0.068,0.133,1
B4GALT1,0,0.23209974362335148,0.2408389142032096,0.203,0.133,1
APIP,0,0.23220448873835725,0.028234032261702624,0.157,0.267,1
APPL1,0,0.23221571224848425,0.02230200978771113,0.297,0.467,1
FAM193A,0,0.23228321780139688,0.011652219048945117,0.091,0.167,1
RHPN1,0,0.2333761017426089,0.010715791659511795,0.091,0.167,1
GTF3C4,0,0.23346365068435107,0.15422044199308937,0.171,0.1,1
ZNF75A,0,0.233851495563578,0.017894095732713666,0.294,0.467,1
CAMK2G,0,0.23395683197004272,0.04272362339041916,0.154,0.267,1
SMAD3,0,0.2343676751931811,0.03137753968798357,0.114,0.2,1
HUS1,0,0.23472288929674073,-0.0032475909669901493,0.07,0.133,1
HDHD3,0,0.23483298057771504,0.05892340470608046,0.154,0.267,1
TAF1D,0,0.23520946098472736,-0.06949324085793829,0.446,0.633,1
UGGT1,0,0.23547446300399918,0.04952805989315756,0.136,0.233,1
TMUB2,0,0.23549360714055298,0.09898276397924749,0.29,0.5,1
HGS,0,0.23575338581515073,0.06092483317435066,0.222,0.367,1
NAA50,0,0.2359499501095827,0.23938512906914478,0.259,0.2,1
SEPT10,0,0.2360490301257313,0.25529168949145264,0.313,0.267,1
CRKL,0,0.2363624007148241,0.01570030615992632,0.114,0.2,1
UBQLN4,0,0.2363624007148241,0.01051360112714303,0.114,0.2,1
SETD4,0,0.23640401757048884,0.029019246646846714,0.136,0.233,1
METTL26,0,0.23649594169382177,-0.017199040353770068,0.614,0.867,1
RERG,0,0.23659556075610375,0.05915714016641582,0.152,0.267,1
TMEM219,0,0.2368644216583991,0.19269781421811882,0.766,0.967,1
EXOC2,0,0.23687661007957067,0.14881341577192544,0.138,0.067,1
ZNF398,0,0.2369991475872389,0.027579389702501872,0.068,0.133,1
TMEM126B,0,0.23724388961386725,-0.004026832763121102,0.509,0.767,1
RPA1,0,0.23736425307619916,0.013965160191056425,0.114,0.2,1
ZNF266,0,0.2373830908396518,0.14304582107300665,0.136,0.067,1
CERCAM,0,0.23801324846712094,0.06322119747680721,0.259,0.433,1
ZNF124,0,0.2380528739200901,0.009208678933532805,0.138,0.233,1
COIL,0,0.23834857262203432,0.06489832708006638,0.292,0.5,1
RAD54L2,0,0.23845583018453015,0.04447510240956451,0.133,0.233,1
RBPJ,0,0.23856759620765167,-0.037697559631034716,0.397,0.6,1
CCDC58,0,0.23895462614670807,0.09021988325452454,0.192,0.333,1
PACS1,0,0.23902824913528656,-0.008820180555512813,0.161,0.267,1
HIBCH,0,0.23912603112753236,0.24471633802916448,0.407,0.4,1
TSG101,0,0.2391284978537488,0.24959006759013314,0.572,0.633,1
PPP6R3,0,0.23916118110611753,0.20713998032812436,0.297,0.233,1
LRRC57,0,0.2391678528312304,0.045919954242811645,0.18,0.3,1
NIPSNAP1,0,0.23928540599668477,0.03746735846459903,0.308,0.5,1
ICMT,0,0.23932301421794197,0.05685788819813148,0.194,0.333,1
LARP6,0,0.2393769497732518,0.02597858414732021,0.114,0.2,1
SPG11,0,0.24000477507076032,0.03543205027030752,0.18,0.3,1
TXLNA,0,0.24032092202359634,0.08291707791715247,0.215,0.367,1
LYRM1,0,0.2404496723412473,0.06594478146123084,0.278,0.467,1
NAA25,0,0.24058303495977243,-0.004307468383048435,0.14,0.233,1
TRAPPC2B,0,0.24058456067960318,0.0334809335952114,0.154,0.267,1
CATSPER2,0,0.24080726243734776,0.04949061256784015,0.068,0.133,1
DMPK,0,0.24096293414273762,0.004224259717421394,0.07,0.133,1
TNFRSF19,0,0.24096293414273762,0.0027075955652570705,0.07,0.133,1
GSK3A,0,0.2410311036914356,0.05345712286998705,0.154,0.267,1
EMILIN1,0,0.2410907080836179,0.03494176577510755,0.136,0.233,1
RSBN1L,0,0.2411273484775311,0.07387487105936053,0.393,0.667,1
CMTR2,0,0.2412513013998205,0.22201699064669655,0.285,0.233,1
ARFGAP2,0,0.24132818385519617,0.2987976584240942,0.393,0.4,1
CCDC186,0,0.2413381543668228,0.03924319533248832,0.227,0.367,1
GLRX2,0,0.2413949743226055,0.2231781718196945,0.196,0.133,1
MPDZ,0,0.24163179711862598,0.0266826922475194,0.224,0.367,1
PPP2CB,0,0.241698735405024,0.00535078615064305,0.308,0.467,1
SUMO2,0,0.24196814735488395,0.08626617445914064,0.986,1,1
PKD1,0,0.24197436011706738,0.25784628364486134,0.285,0.233,1
UNC5D,0,0.2419806735180657,0.015618742065030056,0.093,0.167,1
TTC23,0,0.2419806735180657,0.0018828306722136756,0.093,0.167,1
KMT2D,0,0.2422182576089941,0.15323741512209588,0.171,0.1,1
SELENOK,0,0.24223996402602962,0.13070442865216525,0.841,0.9,1
