p_val,avg_logFC,pct.1,pct.2,p_val_adj
2.6985147011276937e-33,-1.1757864558370545,0.032,0.56,5.076445855761417e-29
3.0623011604321445e-32,-2.5213761874820033,0.163,1,5.76080094300495e-28
4.6970591690957484e-29,-1.566176521215514,0.067,0.68,8.836107708902922e-25
6.20869641772506e-29,-2.55678469697998,0.127,0.84,1.1679799701024382e-24
7.189250547602914e-28,-1.6863268301522507,0.156,0.92,1.3524418130150603e-23
6.250037940161408e-23,-2.570605305866784,0.289,1,1.1757571373031641e-18
1.8217153959685163e-22,-0.4862153130982599,0.001,0.16,3.4270110028959727e-18
4.8806444723621245e-22,-1.063251245572715,0.027,0.4,9.181468381407629e-18
1.9157637477158893e-20,-1.9578526605201025,0.029,0.4,3.603934762203131e-16
2.0320851071750084e-20,-2.25681702924442,0.308,0.96,3.8227585036176257e-16
9.173734854358918e-20,-0.7160887919727774,0.029,0.4,1.7257630008019995e-15
1.6458476519309302e-16,-1.3581280339648476,0.161,0.72,3.096168602812466e-12
3.188499466028031e-16,3.170903413875573,0.977,0.36,5.998205195491932e-12
3.6075242248891976e-16,-2.4007543568186183,0.887,1,6.7864745718615585e-12
3.6586780919191753e-16,2.631808047820882,0.988,0.68,6.882705226518353e-12
3.6985623124183637e-16,3.1164875694262966,0.959,0.04,6.957735422121426e-12
4.3490270606213853e-16,1.2353325851730945,1,1,8.18138970644095e-12
4.906926696627831e-16,3.085189056382159,0.955,0.04,9.230910501696275e-12
5.390142235988057e-16,-0.5972474111291072,0.004,0.16,1.0139935574340733e-11
6.857415590816385e-16,3.0797213552110807,0.948,0,1.2900170209443784e-11
9.50638602046562e-16,1.3520597203640499,1,0.92,1.7883413381699925e-11
1.2333864641030967e-15,-1.2640859214294917,0.053,0.44,2.3202466162707454e-11
2.422403481857565e-15,-1.5484293047434836,0.901,1,4.557025430070451e-11
3.245016726974466e-15,1.8413886739318759,0.96,0.2,6.104525466784365e-11
5.060987804527937e-15,1.9282667909527555,0.937,0.04,9.520730257877955e-11
6.272533771517628e-15,1.9609109497725303,0.955,0.16,1.1799890530978962e-10
1.01718701823137e-14,1.5713132103710203,0.967,0.4,1.9135322186968535e-10
1.0976896754163109e-14,1.8678726634512464,0.933,0.12,2.064973817393164e-10
1.5422772906712514e-14,-1.918551623633355,0.488,0.96,2.9013320392107583e-10
3.31590983158674e-14,1.147105866572757,1,0.96,6.237889575180976e-10
3.362492299532256e-14,-1.3496180188748013,0.039,0.36,6.32552051388008e-10
4.8948032363416497e-14,-0.41631337567502796,0.005,0.16,9.208103848205911e-10
5.514106413560902e-14,-0.43978426527262243,0.005,0.16,1.0373136985190768e-9
9.233377541823506e-14,1.4525844335893523,0.988,0.72,1.736982983167838e-9
1.3132585519847279e-13,1.7908285481853299,0.868,0,2.47050198799367e-9
3.56150524356942e-13,-1.4780794557316572,0.813,0.96,6.699903664202793e-9
4.478528921179615e-13,0.8651497453660109,1,0.92,8.425008606523092e-9
