gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj
MRPL3,0.47371236639123293,0.32611456504594116,0.2,0.329,1
ARPC5L,0.7809793808593019,0.3256908885823173,0.32,0.47,1
MXI1,0.3748645698407466,0.3254052828373356,0.12,0.079,1
BCCIP,0.9102537127387027,0.3253024690577217,0.24,0.301,1
ZNF880,0.14380169439051496,0.3252478577279164,0.12,0.056,1
ACTR3,0.8861917835144146,0.3251546229333073,0.36,0.495,1
U2SURP,0.17594424577658432,0.32508011209187015,0.56,0.604,1
IDH1,0.9761567135427065,0.3246387098001584,0.12,0.139,1
HCCS,0.315215603292859,0.3244791689390307,0.2,0.153,1
DHRS7,0.22818914121833533,0.3242221422431348,0.2,0.132,1
SEC22C,0.8687276810450109,0.3240634144462268,0.28,0.343,1
EWSR1,0.6618869226981268,0.32396422238112,0.36,0.553,1
CHMP1B,0.4659924055587615,0.32383402731588073,0.4,0.465,1
CDPF1,0.5514900311453239,0.3238195992669701,0.2,0.185,1
IGSF8,0.7737486429433765,0.3235947616332728,0.16,0.22,1
RAB7A,0.36886514174709933,0.32339333099270084,0.56,0.773,1
GMEB1,0.5985386666568635,0.32336716719567,0.2,0.188,1
TIMM9,0.463196208332848,0.323332256629879,0.32,0.331,1
COX5A,0.1353102528919486,0.3228571165694094,0.6,0.72,1
IK,0.8895747230864268,0.32272033502786357,0.4,0.509,1
SRPK2,0.6858162664758449,0.32269350179807166,0.36,0.442,1
MDK,0.05206462554582002,0.32269123183968396,0.64,0.639,1
ECI2,0.7160931711712644,0.32249676614549583,0.28,0.329,1
IL6ST,0.832231738332464,0.32235098706617227,0.2,0.227,1
CSDC2,0.8251782520845893,0.32195804952932655,0.12,0.118,1
TKT,0.6285461981754936,0.32141400810279774,0.24,0.347,1
ABHD4,0.6159280476296441,0.3211877243586186,0.12,0.097,1
DNAJC27,0.14380169439051496,0.32064114738518673,0.12,0.056,1
ADNP2,0.3428010419024539,0.32046560741127783,0.12,0.076,1
PKM,0.32209945057980155,0.32035377196506043,0.56,0.72,1
PSMG4,0.4814716308484889,0.3202374366577887,0.24,0.387,1
